Category,Question
Single-Document Fact Lookup,What are the three attention logit computation modes supported by the Neuronal Attention Circuit (NAC)?
Single-Document Fact Lookup,What is the specific BLEU score achieved by the Transformer model on the WMT 2014 English-to-German translation task?
Single-Document Fact Lookup,"How does the ""Full Attention Decode"" method in Sliding Window Attention Adaptation (SWAA) differ from standard SWA during the prefilling stage?"
Single-Document Fact Lookup,What are the eight cognitive functions defined in the CogVision dataset for classifying attention heads?
Single-Document Fact Lookup,"What is the computational complexity of a self-attention layer compared to a recurrent layer as described in ""Attention Is All You Need""?"
Single-Document Fact Lookup,Which specific biological organism's nervous system inspired the wiring mechanism of the Neuronal Attention Circuit?
Single-Document Fact Lookup,"What is the ""attention sink"" phenomenon described in the context of the ""Keep First k Tokens"" method?"
Single-Document Fact Lookup,How many main questions and subquestions are contained within the final CogVision dataset after filtering?
Single-Document Fact Lookup,What are the two sub-layers present in each layer of the Transformer's encoder stack?
Single-Document Fact Lookup,Which specific metric was used to evaluate the Remaining Useful Life (RUL) estimation in the NAC experiments?
Multi-Document Aggregation,"Compare the computational complexity of the Neuronal Attention Circuit (NAC) with the standard self-attention mechanism described in ""Attention Is All You Need""."
Multi-Document Aggregation,How does the "Interleaving Layers" strategy in SWAA compare to the hierarchical organization of functional heads discussed in the CogVision paper?
Multi-Document Aggregation,"Discuss the differences in how ""Attention Is All You Need"" and ""Neuronal Attention Circuit"" handle positional information in sequence modeling."
Multi-Document Aggregation,"Contrast the approach to long-context processing in ""Sliding Window Attention Adaptation"" with the ""sparse Top-K pairwise concatenation"" used in NAC."
Multi-Document Aggregation,How do the findings regarding "sparse functional organization" in VLMs (CogVision paper) align with the sparsity principles used in the NAC architecture?
Multi-Document Aggregation,"Compare the ""Keep First k Tokens"" method in SWAA with the ""positional encoding"" mechanism in the original Transformer paper in terms of preserving global context."
Multi-Document Aggregation,"How does the ""Full Attention Decode"" method in SWAA relate to the ""decoder"" structure described in ""Attention Is All You Need""?"
Multi-Document Aggregation,"Evaluate the ""Chain-of-Thought"" (CoT) usage in SWAA against the CoT-based subquestion decomposition in the CogVision dataset."
Multi-Document Aggregation,"Compare the ""learning rate"" schedules used for training the Transformer in ""Attention Is All You Need"" and the NAC models in their respective experiments."
Multi-Document Aggregation,"How does the ""Universal Approximation Theorem"" proof for NAC compare to the theoretical justifications for self-attention provided in ""Attention Is All You Need""?"
Entity Relationship Reasoning,"How is the entity ""DeepSeek-R1"" related to the concept of ""Chain-of-Thought"" in the context of SWA adaptation?"
Entity Relationship Reasoning,"What is the relationship between ""Flash-Attention-2"" and the ""Keep First k Tokens"" implementation in SWAA?"
Entity Relationship Reasoning,How does the "sensory neuron" entity in NAC interact with the "backbone" entity to compute attention logits?
Entity Relationship Reasoning,What connects the "occipital lobe" entity to the "High-Level Visual Reception" function in the CogVision framework?
Entity Relationship Reasoning,How does the "Adam optimizer" entity function differently in the training regimes of the Transformer and NAC models?
Entity Relationship Reasoning,"What is the relationship between ""LongBench-V2"" and ""LongMemEval"" in the evaluation of SWA adaptation strategies?"
Entity Relationship Reasoning,How does the "Multi-Head Attention" entity relate to the "sub-layers" entity in the Transformer architecture?
Entity Relationship Reasoning,"What is the connection between ""C. elegans"" and the ""Neuronal Circuit Policies (NCPs)"" entity in the NAC paper?"
Entity Relationship Reasoning,How does the "KV cache" entity relate to the "FA Decode" method's efficiency in SWAA?
Entity Relationship Reasoning,What relationship exists between "GPT-4.1" and the "CogVision" dataset construction process?
